id	filename	md5	size	state
005fbea9-7e0a-45a9-a873-5d0b61958b19	TCGA-43-8115-01Z-00-DX1.1CFF45F8-6155-498C-AA52-269E6547FE0D.svs	116bce883132501a08bdccf6d273b891	241208335	validated
006d03fe-2d59-4a1c-892e-ed683b2ad634	TCGA-55-7727-01Z-00-DX1.0c7a4953-16dc-41e0-845b-b89167ec17d7.svs	370fcdafdaa6a6ef8e45ee75025bc23c	847573709	validated
0088409e-d51d-4834-a9c8-4a1ece4b6400	TCGA-18-4083-01Z-00-DX1.337D4583-326F-4108-9441-DC74FAED6AE2.svs	02eb1561a157b5b7aa5d33c144c89d73	718877396	validated
009cef5e-3a60-46fe-a49c-2f6b4019e6a4	TCGA-52-7811-01Z-00-DX1.7093a626-0e8f-4e4c-80c6-6cf32a2f725e.svs	7985122f1e543bb63395d61f2c5e72ba	725669021	validated
00bb08e1-9c43-4d9f-a1e6-d20bb6cbd6b9	TCGA-70-6722-01Z-00-DX1.2f8498bb-bbd9-4eae-bb9e-6fe939ca0551.svs	313fdc680a0c789c5d37ff820e999e63	504398283	validated
01184c1e-c768-4459-a8ea-a443d18880d8	TCGA-50-5939-01Z-00-DX1.745D7503-0744-46B1-BC89-EBB8FCE2D55C.svs	8bfc55e628aafa0b2099099eaf14aee8	1356164075	validated
01cf90a9-5f2e-4b18-8085-67b4f7b13803	TCGA-44-5645-01Z-00-DX1.8b0d89d7-7849-49a6-a2f5-a8faf2c5aab4.svs	e97093955a437b2528210ea7d38f14f6	285088277	validated
02448bf1-6d34-49d1-a4d8-9709cb0ad894	TCGA-63-A5MP-01Z-00-DX1.BBA62567-2E99-4AE4-83DB-DCF044F21C5E.svs	97b28844c5644e7cf4104ece3becb864	509365060	validated
025e9c9e-fcea-47df-ab26-f298514479b8	TCGA-49-4505-01Z-00-DX1.d49d603e-1f76-43a1-a803-9f2d6a6df715.svs	a70aa33717d3a7fbeabee3f924b91f48	616798555	validated
02c02c5a-6659-4bbc-ade0-ba7db1085667	TCGA-37-3783-01Z-00-DX1.08a2c536-e48d-416c-bcad-9db7b2c04c1a.svs	53742a403e2747a898036a08648e0316	273582445	validated
0307bca0-d38e-43db-9a71-d603cf52c0e7	TCGA-66-2785-01Z-00-DX1.b9439ee1-d22b-4ccd-b53b-ce7717a37a17.svs	385d0961a6a36338542b64b9bd75ebb4	269500051	validated
03b3bcaf-4014-4ff3-ac52-782e09c21b5b	TCGA-85-8481-01Z-00-DX1.0f626863-3eb5-4b35-b4fe-22a03d767f15.svs	9a6d57715e0c8b89a812aa914098fc55	639562017	validated
03e2bc97-060e-4575-9510-4d7ec8a9c9e8	TCGA-05-4402-01Z-00-DX1.c653ddc2-88c1-45ac-88e7-4e512b8e8d53.svs	586f4284f9d4f62b21b4d49fe98b7bc6	625776842	validated
03e7a22d-d03c-4001-8c5a-9c469cf49f1d	TCGA-05-4415-01Z-00-DX1.55E0C429-B308-4962-8DA9-41D7D3F7764E.svs	22d9dfc4ce95e9f77147bb8ce0974ecd	433098028	validated
04fd55db-3f42-4fa6-aba0-43556f724c91	TCGA-55-8299-01Z-00-DX1.6F652EC5-EBB8-499C-A66D-E0951FBFCAA2.svs	841580736a56a97361f44c485bcfc292	419311650	validated
057e0148-7dfe-44a2-930b-a8b9eafd9cc7	TCGA-86-7954-01Z-00-DX1.0a063ee6-18b7-4b66-9726-04fb452156cb.svs	d69117c82d16a6ea2d0edab9387b2a78	192555135	validated
05843435-cd47-4dd1-a69b-b46e5e98518f	TCGA-05-4420-01Z-00-DX1.2df0552e-87dc-491e-9be2-be8fbce2660d.svs	7fa08e5b6100d4f96fe1c11d04e0210f	313852628	validated
059f6a8b-743a-4453-9fe5-b7d19d921670	TCGA-97-A4M7-01Z-00-DX1.111ED60D-6E4A-47E9-AFD0-C2A109DE2C60.svs	91d69fa6862f4e9694d4af152c529595	1306358977	validated
05c729e6-4ad3-4ffb-86cc-8ba496358f73	TCGA-67-3773-01Z-00-DX1.3E9DFC22-E962-4C18-BF5B-27EBEA089F5D.svs	d781eab05f5304c160f0a6e24cbea100	486207472	validated
061fb6c7-bde0-4e0a-81ce-4eaa2fa7c8ff	TCGA-85-8666-01Z-00-DX1.d856233a-beef-4da2-a724-759fe23e6227.svs	7fd8901c34e3125d8ab3dcfdb0226441	691572081	validated
06b4e331-9cef-4b6d-ac42-aeee5a8c555c	TCGA-77-8007-01Z-00-DX1.06f0e4a1-936d-4bc2-acbf-cfec25fed190.svs	e77cfaaf025f0c607a633570205db551	1652173941	validated
06daad00-8c55-4fa1-bc17-c59ca07882c2	TCGA-78-7152-01Z-00-DX1.a04f9d84-3304-402c-9c0c-f64545c14781.svs	02e998f28747235f4910f5c361b00df2	1201515101	validated
06ea20f8-1239-420d-85d9-1c06ac1dfb59	TCGA-75-5126-01Z-00-DX1.164887F4-9986-415F-A94A-E40E92D80DA3.svs	830fd63b0086c1c7c01c4cad888cf92a	508551386	validated
06f61f86-9d7d-40d6-9cd5-8156221b5ac9	TCGA-44-3917-01Z-00-DX1.cf5b5b49-de5e-4f2e-90b4-b138f55560a9.svs	e73073798dc4efdf8f56243482b419e1	145959407	validated
070b5d0e-634c-4292-9f76-9bd79aac12c7	TCGA-43-A56U-01Z-00-DX1.B60C921A-4EE4-4CAE-9E55-311C7D2DA9E4.svs	431fd837e117637f73be86d766548905	353956345	validated
078e4b98-7b41-437c-b64b-6f05d6d52048	TCGA-67-3772-01Z-00-DX1.CB05C5CC-2801-4BB9-94A0-83E9005BCA2E.svs	b377475587ebb80fa3f47482d0820ae3	1021887818	validated
07fc8c5b-2936-48a3-8c1c-c118bd6ae4da	TCGA-55-8207-01Z-00-DX1.2dafc442-f927-4b0d-b197-cc8c5f86d0fc.svs	c1b892506e2db01e198128affb3025f7	8772005	validated
0858a431-9090-4b20-8dc2-d7142d3b9b6e	TCGA-77-A5FZ-01Z-00-DX1.1640E2BB-48CC-4CC0-923A-2EC730597EEF.svs	7370d7ff2694006ab53e737daee578c5	1165593645	validated
08803393-a313-4c89-8387-bf7f2ee79713	TCGA-97-7552-01Z-00-DX1.a5ab8959-ff7a-4287-b014-87439957fb67.svs	ac8ae7dde7fc3fb9704206705c5c2b55	464874613	validated
08ceab11-907c-4269-bbc6-b2ef7aa1724b	TCGA-44-2655-01Z-00-DX1.ee255271-780c-461c-ab23-5cd3504b5e4a.svs	228d91d6c9a24a8a5449eb4231d3a3f0	79493713	validated
08d01f35-18dd-4042-87b0-c6f702edc294	TCGA-39-5029-01Z-00-DX1.74c5cb38-650e-4fe7-bc63-f6e88761346d.svs	f05e416292a5ccb5eea75d4fad1703bf	375267459	validated
08e74041-cd0c-4a9a-b00f-0ae5efae01a8	TCGA-44-3396-01Z-00-DX1.187b0a68-ad51-4fcd-819c-b74a8599dbe9.svs	11be9257278c838b4c0227858023795b	333529711	validated
093baa92-65b5-45a1-a772-e746b213afaf	TCGA-L9-A444-01Z-00-DX1.88CF6F01-0C1F-4572-81E3-1A5790692861.svs	ba8ad7106bd2eb070105f3a54a2e8da9	1785297131	validated
094ea11c-2c2b-4504-b1b4-2c4edc401b2a	TCGA-66-2778-01Z-00-DX1.5806ab4d-fdde-45b6-a131-fd5f71bcde0b.svs	d8bdba4961fadacb234313625ce19680	235563651	validated
097059fb-d1c0-4670-849d-11630da5ec5f	TCGA-L9-A8F4-01Z-00-DX1.E2BBB8DE-94E2-4781-9B55-8A4CFBF8A69D.svs	6be4bb90402e1bb26fb948931a35cac6	2193884675	validated
09b91eaa-becd-44da-8d44-aac3ee6c2c33	TCGA-33-AASL-01Z-00-DX1.B6BE8062-EFB3-4615-8F9A-52E2C6D4617F.svs	55b5d060a081ed14133dcd89e592fe5e	1897345999	validated
0a780b0b-fce9-4999-92ba-a8b277578a1d	TCGA-60-2724-01Z-00-DX1.98f9e48f-9c09-4969-aa34-05666616ee9a.svs	72a0b4292280076ec8cdc886f9396849	838644743	validated
0a811e91-795d-4d6a-8fed-af2114247df9	TCGA-49-6743-01Z-00-DX2.f6b71e89-19ff-4d9b-a3f1-3a52949f1dc7.svs	37d74e033f198f5c7a0471d6a050c772	1293795815	validated
0a970836-eb72-42f5-bcaa-9263489ec7fc	TCGA-39-5037-01Z-00-DX1.02636c3e-c843-4741-8fbf-406957fe9d87.svs	aef5003b5ba2c0f76af3d0624fc5a554	331914749	validated
0aa43765-7929-4c4f-9ef0-279a863837bf	TCGA-97-7546-01Z-00-DX1.dad9871f-cdfb-424d-a5b2-4e0905c29137.svs	6e19851adc6741524cd513c5292ffd9c	373350943	validated
0ad7ef6a-3b81-49fc-aeac-1a8c5320da5a	TCGA-78-8660-01Z-00-DX1.11E923ED-C01B-439D-8796-08C9E3DC2D93.svs	26062eaa0b0dd876e4b758c171aaa179	2386586521	validated
0afb5489-719c-4e4d-bb8a-e0e146f0adb2	TCGA-NK-A5CR-01Z-00-DX1.A7C57B30-E2C6-4A23-AE71-7E4D7714F8EA.svs	dff70155a3ca98ba69bced30a5989099	3139267183	validated
0b3cff7b-bbe2-40ab-aee6-cb0554940eaa	TCGA-05-4244-01Z-00-DX1.d4ff32cd-38cf-40ea-8213-45c2b100ac01.svs	edf03aaf67014c7cbb627cbe717216dd	235267370	validated
0b7074d3-a65f-4a12-a909-e39ee5241612	TCGA-98-8022-01Z-00-DX1.870ca00a-d779-4948-80b2-0f19d0f36b16.svs	294651e2734bf08c176ff8a01c92664e	37846763	validated
0b75f59f-fdc0-47dc-a58a-d6b72aa54d28	TCGA-55-1594-01Z-00-DX1.bd90c500-7c0b-4c45-a3f7-2d9177384b1d.svs	876b529b2ebce491880fa9b4c24b9071	740107925	validated
0b94603f-a5c3-4fd2-85b0-aa8c0d6bbf89	TCGA-55-6983-01Z-00-DX1.8f940a64-1f1b-4e6e-99ea-418175be2b3f.svs	92ddcaa82c1b4ee9dc0c29914628e4a6	164685037	validated
0bab1f8d-61a1-4f8f-abb4-b5b5b2725024	TCGA-78-7542-01Z-00-DX1.2ee042a6-11ee-4668-b254-44144fca4234.svs	cdd711a9f906ac1442e17f0e7cfaf3af	703601679	validated
0bbbf2e6-35a8-418b-9c49-18749a826038	TCGA-55-A57B-01Z-00-DX1.8D3C7063-3AF6-4839-A656-F844EC0AF9DB.svs	7f18423a7b9a408b7fd8f0b431f53769	122568410	validated
0be320e5-cb8c-46cd-b718-2e5757327348	TCGA-75-5147-01Z-00-DX1.3156FA5C-9737-4EAA-989C-FD578FBF15A1.svs	b932e3aa7b6922ecffe0d32e659a2a68	131688074	validated
0bf0287c-702c-4909-ab18-55d64617fa57	TCGA-MF-A522-01Z-00-DX1.4934A011-8C04-43B7-A358-16AA64BB6B0C.svs	5707a6e8373db65a57b618bb4a21b364	140580511	validated
0cc092c1-e603-4b70-b10a-807e10855dd8	TCGA-22-0940-01Z-00-DX1.775CB101-6A55-40DD-B19F-7BFCA7820F5F.svs	90cc7a2aeab7d31f5a30d3056b5ee028	765401639	validated
0cc37e89-a4e1-4ef6-aff1-2d28b46ade30	TCGA-66-2788-01Z-00-DX1.1a57324a-5b00-44ed-912d-9522d0141500.svs	218ec0dae29945777abb2bfbb9cd5844	185623469	validated
0cd8138a-3c98-4dd4-a895-a716ba9806f3	TCGA-97-7938-01Z-00-DX1.d774d0a2-ee34-43ba-9d9d-34bf9718292e.svs	9753c41ead76e442bf4395736eb79849	1209966176	validated
0d00fbf5-6432-4508-88d9-344168e81ab6	TCGA-21-1072-01Z-00-DX1.9e6c90ad-0529-4b8b-a4f8-1b05430600f9.svs	c4d3e468107308236b5d02f8fa5ee641	171033867	validated
0d2457ab-e28f-4468-84c3-0bd56e1792de	TCGA-NC-A5HR-01Z-00-DX1.B8B85EDD-96A6-40DF-B3BF-C97311A7E552.svs	a331a3e116ce816d22fb37aeccfbf5ad	2660231813	validated
0e0b542e-4794-4c09-a10d-95c94eb877e4	TCGA-86-8674-01Z-00-DX1.9fcaae4e-4062-45ab-a49d-7dba43040919.svs	7ef0f9e76bbf2ecac2a8848fb9f9c0c9	430809199	validated
0e68077d-b81e-42de-ae96-3b2e28ae83bf	TCGA-21-1070-01Z-00-DX1.06363f8a-ef29-4d73-95da-a3172d7873c0.svs	7a488c21c67c24945538cedae4fb8f98	182833287	validated
0eedaa08-4f4e-4603-807b-ccaab51d4c6d	TCGA-39-5016-01Z-00-DX1.b568cdcd-f8bf-4917-ae40-dbd505c36d1e.svs	49443d93d33bcf95defd969d45e6cfa6	566068955	validated
